order_id,customer_id,order_date,product_category,amount
5001,1,01/05/2025,software,$1200.00
5002, 2 ,01/09/2025,Services,$850.00
5003,3,1/14/2025,HARDWARE,$430.00
5004,1,02/02/2025,Software,$95.00
5005,4,02/11/2025,services,$2100.00
5006,5,02/19/2025,Hardware ,$310.00
5007,,03/01/2025,Software,$0.00
5008,6,03/06/2025,Services,$675.00
5009,7,03/15/2025,hardware,$1450.00
5010,2,03/22/2025,Software,$980.00
5011,8,04/02/2025,Services,$1200.00
5012,3,04/10/2025,Hardware,$260.00
5013,1,04/18/2025,software,$1750.00
5014,5,04/25/2025,Services,$430.00
5015,6,05/03/2025,Hardware,$0.00
