customer_id,tenure_months,contract,internet_service,monthly_charge,support_tickets,autopay,churned
C001,2,month-to-month,fiber,89,3,no,1
C002,28,annual,dsl,55,0,yes,0
C003,8,month-to-month,fiber,95,4,no,1
C004,42,two-year,fiber,82,1,yes,0
C005,13,annual,dsl,48,1,yes,0
C006,1,month-to-month,dsl,51,2,no,1
C007,36,annual,fiber,91,0,yes,0
C008,5,month-to-month,fiber,99,5,no,1
C009,19,annual,dsl,58,2,no,0
C010,54,two-year,fiber,79,1,yes,0
C011,7,month-to-month,dsl,62,3,no,1
C012,24,annual,fiber,86,1,yes,0
C013,3,month-to-month,fiber,102,4,no,1
C014,31,annual,dsl,52,0,yes,0
C015,11,month-to-month,dsl,59,2,no,0

