order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,refunded
O1001,C001,P01,2026-01-03,1,45,0,false
O1002,C002,P02,2026-01-04,2,39,10,false
O1003,C001,P03,2026-01-18,3,18,0,false
O1004,C003,P04,2026-02-02,1,32,0,true
O1005,C004,P01,2026-02-07,2,45,5,false
O1006,C005,P05,2026-02-14,2,24,0,false
O1007,C006,P02,2026-03-01,1,39,0,false
O1008,C002,P04,2026-03-08,1,32,15,false
O1009,C007,P03,2026-03-12,4,18,0,false
O1010,C008,P05,2026-03-17,1,24,0,true
O1011,C003,P01,2026-04-04,1,45,0,false
O1012,C001,P02,2026-04-09,1,39,0,false

