month,department,budget,actual_cost,revenue
2025-01,Sales,45000,42800,180000
2025-01,Marketing,30000,33500,0
2025-01,Operations,60000,58200,0
2025-02,Sales,45000,44100,192000
2025-02,Marketing,30000,29800,0
2025-02,Operations,60000,61900,0
2025-03,Sales,47000,46500,205000
2025-03,Marketing,32000,35200,0
2025-03,Operations,60000,59400,0
2025-04,Sales,47000,45200,198000
2025-04,Marketing,32000,31100,0
2025-04,Operations,62000,63800,0
2025-05,Sales,49000,48700,215000
2025-05,Marketing,33000,32400,0
2025-05,Operations,62000,60500,0
