campaign_id,channel,start_date,spend,impressions,clicks,conversions,revenue
MKT-01,Email,2025-01-06,800,42000,1260,58,4640
MKT-02,Paid Search,2025-01-13,3200,88000,3100,140,12600
MKT-03,Social,2025-01-20,2100,150000,4500,95,7125
MKT-04,Email,2025-02-03,750,39500,1180,50,4000
MKT-05,Paid Search,2025-02-10,4000,102000,3800,175,15925
MKT-06,Display,2025-02-17,1500,210000,2100,22,1650
MKT-07,Social,2025-02-24,2400,168000,5200,110,8250
MKT-08,Referral,2025-03-03,300,9000,720,64,5120
MKT-09,Paid Search,2025-03-10,3800,95000,3550,160,14400
MKT-10,Email,2025-03-17,820,44000,1320,62,4960
MKT-11,Display,2025-03-24,1650,225000,2250,19,1330
MKT-12,Social,2025-03-31,2600,175000,5400,102,7650
